Author,Date,Region,Sentence,generated_translation,score_human
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Colui che, in nome di tutti gli altri, ha perdonato i vostri cittadini e a cui voi potrete più confortarvi, dopo che è stato il vostro comandante.",0
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","In vano si chiede chi ha scritto questo Libro, e con ciò si deve credere fedelmente che l'Autore del Libro sia lo Spirito Santo.",0
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse molto usato, questo sembrerebbe molto più incredibile: è molto più facile crederlo, visto che lo spirito umano è divino e l'immutabile l'immutabile.",0
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che prendessero la paga del camarlingo per la loro dispensione e l'immanenza di andare in presenza del signor papa per contraddire il passaggio dei cavalieri che provenivano da Cecilia in Toscana.,0
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Tessiso guardò Achelao con grande stupore e disse così: ""O signor Achelao, ti prego di dirmi come hai perso la testa.",0
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero di mandare subito a voi Timoteo, perché io sia di buon animo, in nome di Gesù Cristo.",0
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Facciamo così il porco selvaggio avanza l'uomo che udisce e il lupo cerviere che vede,0
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"In un luogo si spande lancioni, cosa che i cavalieri chiamano capo del porco.",0
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Attira le sue reti ai cervi e sa bene in quale valle abita il porco cinghiare rabbioso.,0
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i cervi desiderosi con diversi terrori, o il porco ingegnere si precipiterà sulla terra con un collo spietto.",0
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta la natura delle cose incorporate, che non comunicano tra i corpi, proprio come Dio e le cose divine.",0
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per il quale si dispensa e giudicano tutte le cose.",0
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Dove i poeti, quando parlano di loro, dicono le loro virtù e raccontano in modo favoloso i loro difetti, quando qualcuno passava l'ordine al loro deputato",0
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","e quella cosa, che è diretta, onesta e dotata di virtù, è la sola cosa che penso essere il bene.",0
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando un romano invelleneva i serpenti di giorno, allora la meraviglia era vedere come i Psille combattevano con il veleno, poiché essi imolevano ogni cosa senza saliva con la loro saliva.",0
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: Oh, che cosa è bello vedere con gli occhi aperti quando lo fai verso l'alto, verso il basso o verso l'alto?",0
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","ma anche questo è stata colpa tua, pur che tu cerchi di vedere con gli occhi fisici ciò che non è visibile.",0
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo in questo momento, perché sei mio servo, o perché è tempo difficile, o perché io non devo risponderti.",0
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,È confortevole che le desse una grande ricchezza perché le lascere andare via.,0
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un notevole esempio a tutti coloro che si impegnavano a pensare o a commettere tradimento, il servo, che gli aveva accusato, fu francato e fuggito donato una grande quantità di denaro.",0
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,Che sarebbe disgrazioso per lui se avesse commesso tale errore in modo tale che la colpa del servo e il castigamento di Platone fossero altrettanto degni di lui.,0
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostrò con grande forza la sua forza di potere, dando a lui un re a questa città, nella quale nacque un servo; a quest'ultimo avvenne molto tempo che l'impero teneva cura di lui.",0
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima muove la sua forza a causa della proprietà del corpo a cui si unisce.,0
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","non sono più due in una sola carne, ma in un solo spirito, cioè Dio e l'anima. In un altro luogo dice San Paolo: Chi si avvicina a Dio è uno spirito.",0
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Ecco come vi raccontiamo quello che disse Luca: quando l'anima di Pompeo sentì la luminosità del lasso, scoprì per la prima volta in grandezza di ciò che accaduto.",0
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Com'è doloroso sentirlo quando l'uso delle armi e la faticità lo rifiutano, con grande vergogna come un peccato di essere pecore.",0
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E Cristo non ebbe affatto la cura di udire queste parole.,0
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","la moltitudine di coloro che hai visto e esaminato e poco di fronte a cui ho udito le voci, e le cui mani e lanci non sono in grado di riconoscere.",0
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Sentire belle notizie e sentire l'odore di bei fiori, come, quando e quanto si addice.",0
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro al suo albergo, quasi come se stesse pensando alla risposta.",0
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desidero là dove non posso andare con il corpo, con la mente volare con voi.",0
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"E subito dopo, tutta questa folla di uccelli si mise in volo dietro all'aquila.",0
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Egli vede anche le ragioni del volo degli uccelli e sa giudicare correttamente ogni cosa.,0
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ora questo uccello, grazie alla sua bellezza, volava molto in alto.",0
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e io ho questa capacità di volare nell'aria come un uccello"".",0
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando si iscrive nella matricula, fanno giuramento per Dio, per Cristo e per lo Spirito Santo.",0
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","['per necessità ridicola, Padre Santo Agostino, secondo il tuo ordine, le battaglie sono già state in questo mondo .']",0
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Molto di più saranno ricordati per aver creato il re, poiché nella nostra città fu sempre santo e glorioso il nome reale, e con lui furono compagni il nome Santissimo;",0
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi",Non voglio che tu non guardi il profilo della virginità vedendo le sue lodi.,0
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","San Agostino scrisse un libro intitolato ""Augustino della Città di Dio"".",0
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,"Gregorio, non ho mai sentito che avesse un maestro, ma il dono del Spirito Santo non si può stringersi alla legge.",0
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Verbibia: i mercanti fiorentini passavano in barca per andare oltreoceano.,0
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando vedrai in cavallo questi segni non devi crescere e cadere, perché in battaglia i forti sono più utili che i grandi.",0
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, cosa ancora più grave, cioè essere catturato, o davvero fuggire, e lasciare vincere la sua Comuna.",0
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate che se non corressimo così velocemente per fuggire, moriremmo tutti.",0
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco dei Creteni, che era in aiuto dei nemici, avrebbe potuto fuggire, ma la vergogna di abbandonare i nobili cavalieri della gente non lo avvicinava molto a lui.",0
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'incoraggiamento a compiere cose di grande valore, vale a dire mantenere la pace e amare Dio e il prossimo, fissare città, castelli e castelli forti",0
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Colui che ancora non sa amare il prossimo come se stesso comincia a temere i giudizi di Dio. ,0
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo aver afferrato le ali, non scorre in salvo, né il maiale selvaggio scorre bene dalle reti dove cade.",0
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?",E come mai il tuo cuore dovrebbe rimanere chiuso al tuo sposo Cristo?,0
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E dunque, visto che queste cose sono così, Catellina, e tu non puoi vivere bene qui, dubiti di andartene in qualche terra e trascorrere questa vita fuggendo verso i deserti.",0
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo, contro la volontà del Senato, rimanere nell'ufficio del tribunale, furono uccisi dai plebi, incitandogli i padri iscritti.",0
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette",ai quali si impegna la difesa delle province e l'avventura di tutta la battaglia.,0
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Da quei monti dei Romani si furono fatti nuovi nemici; contro i quali combatte con diverse avventure: poiché nella prima battaglia, essendo consolato da Valerio, MMMD morì dei Romani;",0
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","noi siamo stati uccisi e lasciati a causa del debito della città, e tutti uccisi per la fama e la fortuna.",0
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"pregate gli dei per me, e le vostre preghiere valgono: e se vi chiedete chi ha avuto la fortuna di combattere in questa battaglia, io non sono stato vinto da lui.",0
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","una città che si chiamava Vitermina, con la quale più principi scherani fuggitarono per avventura a quel tempo per vederlo, Scipio, stimando che fossero venuti a rinforzarlo, lo osò nella sua casa.",0
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,contro di lui e contro le sue sorelle e contro il regno e contro l'alto valore della sua generazione e della sua famiglia,0
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando il navicelle fu spinto e messo in alto mare per camminare dritto attraverso questo pericoloso passaggio, l'aria divenne nuvolosa e profumatissima.",0
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Si potrebbe salire sull'argine del fosso, e sulla spiaggiatura, se si potesse difendersi dall'alto, o in qualche modo passare oltre e fuggire.",0
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto, perciò, dopo la grandezza dell'università, la stessa forma semplice vede con la vista più sottile",0
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un membro nobile del corpo umano, allora il saluto è una parte nobile della pistola, così come l'occhio illumina l'uomo.",0
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, nati da quelli della Lacedemonia e fatti dalla nobile città dei Greci.",0
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Ulecois, ebbe un uomo ricco e nobile: Orgentore fu chiamato di nome.",0
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Tuttavia, poiché la cosa nobile e alta è abbattuta dal nemico, allora è meno lodato sapere di avere compassione.",0
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questo è il genero e il figlio, di Phausonia, giovane gentile della Macedonia, che, mentre stava in un luogo stretto di guardia, fu ucciso.",0
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Qualcuno è ricco e gentile, ma si lamenta che vorrebbe avere una moglie diversa da quella che ha.",0
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, visto che gli fu mostrato in immagine il popolo gentile, gli fu detto così: uccide e mangi",0
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Chiedendogli di liberarlo da quell'involucro in cui l'aveva lasciato costretto, il gentile uomo lo tolse e lo liberò, trasformandolo in carta.",0
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","Che noi immaginiamo come l'Aquino, se non il popolo gentile, congelato dal freddo del peccato, che teneva sotto lo giogo della sua tirannia.",0
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Che sia tra me e te: tu non puoi rimanere con noi più a lungo, perché io non lo sopporterò e non lo lascerò.",0
