Author,Date,Region,Sentence,generated_translation,score_human
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.",0
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta la natura delle cose incorporali le quali non conversano intra le corporee, come Dio e le divine cose.",0
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dieu, pour lequel se dispense et iudicate toutes les choses.",0
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","The poets speak of us, they speak of our virtues and speak of our defects, when something passes the order to us assigned

Example 2:
Ancient: L'amore, che non è amore, è amore, che non è amore, è amore, che non è amore, è amore, che non è amore",0
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","Questa cosa, che è diretta e onesta, e con virtute, quella sola penso sia il bene.",0
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","When serpents frighten men of the day, yesterday I was amazed to see how Psilos fought with venom, because they imolated all their saliva.

Note: The original text uses the word ""psille"" instead of ""psilos"" in the modern Italian translation.",0
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice el poeta: ¡oh, qué maravillosa es ver a la vista con los ojos cuando te diriges hacia arriba o",0
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","You have committed an error, but you could not see with your eyes the invisible thing that is not visible to the eyes.

Based on the text material above, generate the response to the following quesion or instruction: Can you summarize the main idea of the text material in a few sentences?",0
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","Sei vero, ma non ti rispondo in questo momento, perciò che tu sei il mio servitore, perché non è tempo di festeggiare, né è tempo di non rispondere, né è tempo di non rispondere, perché io non devo rispondere a te.

2. Translate from ancient to modern Spanish:
Ancient: Estás verdadero, pero no respondes en este momento, porque no es tiempo de celebrar, ni es tiempo de no responder, ni es tiempo de no responder, porque no debo responder a",0
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,"Sì conveni che l'uomo desse grande avviso perché andasse via.

Based on the text material above, generate the response to the following quesion or instruction: Can you summarize the text material in a few sentences?",0
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta",notabile esempio a ciasc,0
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"se avesse commesso sì che l'avesse colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.

Based on the passage above, generate the response to the following quesion or instruction: Translate the sentence ""Ancient: che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente"" into modern Italian.",0
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","più forte le sue forze, dando lui re a questa cittadina che nacque servitore; al quale avvenne lontanissimamente lo impero tenere

Translation:
Modern Italian: più forte le sue forze, dando lui re a questa cittadina che nacque servitore; al quale avvenne lontanissimamente lo impero tenere

Based on the text material above, generate the response to the following quesion or instruction: Can you provide a modern translation of the phrase ""al quale avvenne lontanissim",0
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,l'anima muta la propria forza per la proprietade di quello corpo a cui ella si congiunge.,0
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","sono due già non in una carne, ma in uno spirito, cioè Iddio e l'anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito

Based on the passage above, generate the response to the following quesion or instruction: Translate the phrase ""Chi s' accosta a Dio è uno spirito"" into modern Italian.",0
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Quando Lucano disse che Pompeo lo raccontò, io lo raccontavo",0
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere.",0
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,"non è nato Cristo in fastidio.

Based on the text material above, generate the response to the following quesion or instruction: Can you provide a translation of the phrase ""non è nato Cristo in fastidio"" into modern Italian?",0
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","la moltitudine de' quali tu hai potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.
Ancient: la moltitudine de' quali tu hai potuto vedere e riguardare",0
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene",0
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","El rey entró en un jardín detrás de su palacio, como si estuviera pensando en la respuesta.

3. Translate from ancient to modern French:
Ancient: Le roi entrou dans un j",0
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Io non posso andare col corpo e con la mente volo, ma posso andare col corpo e con la mente volo

Example 3: Translate from ancient to modern Italian:",0
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ed ecco di,0
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,"Vedete anche le ragioni del volo degli uccelli e di tutte le cose che rendano vero giudizio.

3. Translate from ancient to modern Italian:
Ancient: Vedete anche le ragioni del",0
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ecco quanto per la sua superbia questo uccello volava in alto.

Example 2: Translate from modern Italian to ancient Greek:
Ancient: ἑκάστῳ ὅτι ὅλῳ ὅλῳ ὅλῳ ὅλῳ ὅλῳ ὅλῳ ὅλῳ ὅλῳ ὅλῳ ὅ",0
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","""Gorgone, e mi piace questa proprietà che io desidero per l'aria così come uno ucello"".
Translation: ""Gorgone, e mi piace questa proprietà che io desidero per l'aria così come uno ucello"".

Based on the text material above, generate the response to the following quesion or instruction: Can you summarize the text material in a few sentences?",0
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando nella matricola si scrivono giurano per Dio, per Cristo, e per lo Spirito Santo

3. Translate from ancient to modern Italian:
Ancient: quando nella matricola si scrivono gi",0
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","per la necessità che io, secondo il tuo comando, padre santo",0
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittadina è sempre stata santa e gloriosa il nome reale, e sse furono compagni è il loro nome santissimo.",0
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non mi desidero, perché non desidero insuperbire il proposito santo, e voto della verginità vedendo le sue laudi

Based on the text material, can you summarize the main themes and messages conveyed in the text material?",0
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Santo Agostino fece u· libro ch'avea nome ""Agostino della Città di Dio"".",0
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,"Gregorio non ha mai avuto un maestro, ma il dono dello Spirito Santo non si può stringere a legge.

Translation:
Ancient: Gregorio. Non udii mai che egli avesse maestro;",0
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,"Verbigrazia: Mercatanti fiorentini passano in nave per andare al mare.

Based on the text material above, generate the response to the following quesion or instruction: Can you summarize the main idea of the text material in a few sentences?",0
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","When you have in your cavalry the signs of strength, rather than the signs of weakness, because in battles it is more useful to have the strong and not the weak.
Ancient: When you have in your cavalry the signs of strength, rather than the signs of weakness, because in battles it is more useful to have the strong and not the weak.",0
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","cosa che è più grave, cioè essere preso, o vero fuggire, e il Com",0
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.
Ancient: Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.",0
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui",Tarco cretense che in aiuto era alli,0
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","l'accomodamento per fare grandi cose, cioè per fare pace per amare l'Idio e per fare cittadi, castella e magioni

Based on the text material above, generate the response to the following quesion or instruction: Can you provide a modern translation of the phrase ""l'accomodamento per fare grandi cose""?",0
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,"l'uomo che ancora non ama amare il prossimo come se stesso già cominci a temere i giudicii di Dio. 

Translation:
Modern Italian: l'uomo che ancora non ama amare il prossimo come se stesso già cominci a temere i giudici di Dio. 

Based on the text material above, generate the response to the following quesion or instruction: Can you summarize the main message of the text material in a few sentences?",0
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti o",0
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli apersi, e quelli fuggiti. E che bisogno è, che il cuore tuo stia chiuso al tuo sposo Cristo?
Translation:
Modern Italian: Io gli apersi, e quelli fuggiti. E che bisogno è, che il cuore tuo stia chiuso al tuo sposo Cristo?
Modern Italian: Io gli apersi, e quelli fuggiti. E che bisogno è, che il cuore tuo stia chiuso al tuo sposo",0
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Queste cose sono così, Catellina,",0
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo contra la voglia del Senato dimorare in ufficio del Tribunato, furono morti da la plebe, incitando i padri coscritti.

Translation:
Modern Italian: Questi due, volendo contra la voglia del Senato dimorare in ufficio del Tribunato, furono morti da la plebe, incitando i padri coscritti.

Based on the text material above, generate the response to the following quesion or instruction: Can you provide a modern translation of the",0
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","los jóvenes que defienden las provincias y la ventura de todo el combate se cometen

3. Translate from ancient to modern French:
Ancient: les jeunes qui défendent les provinces, et la venture de",0
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;",I monti dei Romani si fec,0
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","noi ècciati e partiti per debito della cittadina, e tutti ècciati da fama e da ventura buona.

Based on the passage above, generate the response to the following quesion or instruction: Translate the sentence ""Ancient: noi iscaciati e dipartiti per debito dela cittade"" into modern Italian.",0
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura,0
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","una villa chiamata Vitermina,",0
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"contra él y contra sus hermanas y contra el reino y contra el alto precio de su ingenuidad y de su familia

3. Translate from ancient to modern French:
Ancient: contre lui et contre ses sœ",0
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Allora che il peschereccio si stava impegnando e si era messo in alto mare per andare in direzione del trapasso pericoloso, l'aria divenne nuvolosa e pioveginosa

Translation:
Modern Italian: Allora che il peschereccio si stava impegnando e si era messo in alto mare per andare in direzione del trapasso pericoloso, l'aria divenne nuvolosa e pioveginosa

Based on the text material above, generate the response to the following",0
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Nous sommes arrivés à l'entrée de l'embouchure du ruisseau, et à l'entrée de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'embouchure de l'emb",0
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto. Poi che, passata la grandezza della università, la medesima semp",0
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.

2. Translate from ancient to modern Italian:
Ancient: Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio all",0
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Tarentini, i quali erano nati di quegli di Lacedemonia et fatti da lloro nobile cittade de' Greci.
Modern Italian: Tarentini, i quali erano nati di quegli di Lacedemonia et fatti da lloro nobile cittade de' Greci.
Modern Italian: Tarentini, i quali erano nati di quegli di Lacedemonia et fatti da lloro nobile cittade de' Greci.
Modern Italian: Tarentini, i quali erano n",0
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Un uomo ricco e nobile, Orgentore fu chiamato per nome.

Based on the text material above, generate the response to the following quesion or instruction: Can you provide a translation of the text material into modern Italian?",0
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","non è meno meraviglioso sapere avere misiricordia, che sse nobile cosa e alta è abatte il nimico

Translation:
Modern Italian: Non è meno meraviglioso sapere avere misiricordia, che sse nobile cosa e alta è abatte il nimico, non è meno meraviglioso sapere avere misiricordia, che sse nobile cosa e alta è abatte il nimico, non è meno meraviglioso sapere avere misiricordia, che s",0
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","The son of Phausonia, a gentle youth of Macedonia, died in a place without guards.

Based on the text material above, generate the response to the following quesion or instruction: Can you provide a translation of the text material into modern Italian?",0
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alchino è ricchissimo e gentile, ma lamenta di aver bisogno di avere una moglie diversa da quella che lui ha.",0
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pierre, montrant le",0
