Author,Date,Region,Sentence,generated_translation,score_human
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","""Marco Cornelio che era dei dieci compagni, studiosamente si riservò di parlare allultimo.""",5
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,così che io sapevo che erano fatte in Italia.,4
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, figlio di Ortensio, iniziò la sua vita più bassa e più viziosa.",5
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Allora un amante dice parole e ragioni molte, e ella si difende in suo dire.",3
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","che fui adirato e fuggì la mia donna. Ohi, quanti dì questa ira mi tolse!",2
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Colui del quale tu lo solevi difendere che era amante della tua donna;,2
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano già le parole di coloro della congiurazione, ché la donna non intendeva già i nomi.",3
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","O fedele mia donna, fa che in mio luogo ti sia racomandato il nostro hoste Troiano.",3
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ripresa la malvagità di una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo:",5
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentavano linvolucro di Appio, e ripiangevano la malavventura della pulcella e la necessità del padre.",3
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","La quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solo la pace era schifata,",0
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda suole talora per la grande precisione fare timoroso, e la prima per lardire rendere altrui matto.",0
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e tutta la legione trasse seco.,0
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",La quale diede arare al profeta Natan a riprendere con grande autorità quello che aveva peccato.,0
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","armi e insieme con loro passavano tra i nimici, perché se non avesse ardire di questo e sì avevano questo animo.",0
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Infatti, secondo me, è stato interpretato dolente;",0
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.",Egli fu il vostro comandatore; poiché egli fu il vostro comandatore.,0
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Sii domanda chi questo Libro scrivesse, con ciò che credo che lAuttore di quello fu il Cristo santo.",0
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse stata usata, ciò sarebbe molto più incredibile: certo più agevolmente si può credere quello, posto che lumano spirito al divino, e il mutabile allo incommutabile, e il mutabile allo incommutabile.",0
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"che prenderono la paga dal camarlingo per contraddicere il passo dei cavalieri che venivano di Cecilia in Toscana, per impedire il loro ingresso in Toscana, per contraddicere il passo dei cavalieri che venivano di Cecilia in Toscana.",0
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","O messer Achelo, io vi prego che voi mi diciate in che modo voi perdeste e vi prego che vi dica in che modo voi perdeste.",0
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia danimo buono.",0
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Fallo il porco salvatico avanza luomo di udire e il lupo cerviere del vedere,0
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"""Un luogo si mandano lancioni; la quale cosa i cavalieri lo appellano capo di porco""",0
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Testo antico: tenda le reti ai cerbi e sa bene in quali valle risiede il furioso porco cinghiare.,0
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai gli disidirosi cervi con varie e diverse paure, o il porco cenghiare caggia in terra passata un colpo spiedo.",0
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","La natura delle cose incorporali che non parlano intra le loro membra, sì come Dio e le divinità.",0
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, che si dispensano e giudicano tutte le cose.",0
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Gli poeti, parlando degli loro, dicono le loro virtù e dicono favelosamente gli loro difetti, quando alcuna passava lordine a un deputato.",0
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quella cosa, che è giusta e onesta, e con la sua potenza, è la sola cosa che penso essere il bene.",0
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando aveva raggi di giorno alcuno Romano, allora iera la maraviglia a vedere come i Pessi combattevano al veleno, per vedere come essi si combattevano al veleno, e elli colpevano tutto il cuore della loro salive.",0
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Oh, che bella cosa è vedere apertamente con gli occhi quando fai il taglio o il taglio o in altro. Perché bella cosa è vedere apertamente con gli occhi quando fai il taglio o in altro.",0
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma questa fu la colpa tua, perché volesti vedere con gli occhi corporali la cosa invisibile.",0
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo in questo tempo, perciò che io non posso risponderti in questo tempo, perciò che io non posso risponderti in questo tempo, perciò che io non posso risponderti in questo tempo, perciò che io non posso risponderti in questo tempo, perciò che io non posso risponderti in questo tempo, perciò che io non posso risponderti in questo tempo, perciò che io non posso risponderti in questo tempo, perciò che io non",0
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,si convene che lavrebbe grande avere perché lasciasse andare via.,0
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Egli aveva creato un servo che lo aveva accusato, fu cacciato e donato grande quantità di moneta, e fu donata grande quantità di moneta.",0
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,se lo avesse commesso sì che la colpa del servo e il gastigamento di Platone avesse meritato egualmente la colpa del servo e il gastigamento di Platone avesse meritato egualmente.,0
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Testo antico: mostro e massimamente le forze sue, dando lui re a questa cittade che nacque servo; al quale aveva avuto lungo tempo il suo regno; al quale aveva avuto lungo tempo il suo regno; al quale aveva avuto lungo tempo limperatore; al quale aveva avuto lungo tempo il suo regno lungo.",0
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,Ahimè lanima muta la sua forza per la proprietà di quello corpo a cui ella si congiunge.,0
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Egli dice S. Paolo: chi si accosta a Dio è un spirito, cioè Dio, e lanima. In questo luogo dice S. Paolo: Ciò che si accosta a Dio è un spirito. In questo luogo dice S. Paolo: Ciò che si accosta a Dio è un spirito.",0
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Infatti, quando lanima di Pompeo ebbe sentito la chiarezza di lassù, ella sì cognove prima in grande gioia. Ivi, quando lanima di Pompeo ebbe sentito la chiarezza di lassù, ella sì cognove prima in grande.",0
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Sii dolore è a udire, quando lusare larma e la fatica ricusano, con grande disonore come pecore essere.",0
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,Egli non ne ebbe in fastidio Cristo cotali parole dudire.,0
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.",La moltitudine dei quali tu ài potuto vedere e riguardare lo sguardo e non posso ritenere quelle mani e lance.,0
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Vedere belle novelle e odorare di belli fiori, come e quando si conviene, come e quando si conviene.",0
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro al suo albergo, quasi come se fosse pensato alla risposta.",0
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io dispiace colà dove non posso col corpo andare, con la mente vi volo",0
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ed ecco subito tutta questa turba degli uccelli si levò a volo dietro allaquila.,0
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vede anche le ragioni del volo degli uccielli e di tutte le cose saranno rendere vero il Giudizio.,0
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Ora ecco come per la sua superbia questo uccello volava in alto.,0
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","""Gorgone, e ho questa proprietà che io volo per laria come un ucello.""",0
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","perché nella matricola si scrivono giurano per Dio, e per Cristo, e per il Spirito Santo.",0
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","A proposito di questo, padre santo Agostino, le battaglie già state nel mondo .",0
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","perché nella nostra cittade sempre fu santo e glorioso il nome del nostro regno, e furono compagni del loro nome santo e glorioso;",0
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio, che insuperbischi per il santo proposito, e voto della verginità vedendo le sue laudi.",0
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Agostino di Città di Dio fece un libro che aveva nome ""Agostino Della Città di Dio"".",0
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non può stringere a legge.,0
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Verbegrazia: Mercatanti fiorentini passavano in nave per andare a pescare.,0
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando averi nel cavaliere i detti segni veduti non andare a grandezza, perché nelle battaglie sono più utili i forti che i grandi.",0
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, cosa che è più grave, cioè fuggire, o vero fuggire, e suo Comune lasciare vincere.",0
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate vere, che se non ci fossimo affrettati dal fuggire, noi saremmo tutti morti.",0
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Egli avrebbe potuto fuggire, ma la vergogna di abbandonare i nobili cavalieri della gente che era poco indietro da lui, ma la vergogna di abbandonare i nobili della gente che era poco indietro da lui.",0
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e laccomento a fare grande cose, cioè a ttenere pace e amare Idiota e il vicino, a ffare cittadi, castella e magioni, e a ffare castelli, castelli e magioni.",0
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,"Colui che non sa amare il prossimo come sé, comincia a teme i Giudizio di Dio.",0
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","Ucello, dopo che ha impaniate le ali, non fugge salvamente, né il porco salvatico esce bene delle reti ove cade.",0
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli apparsi, e quelli fuggiti. E che bisogno è, che il cuore tuo stia chiuso al tuo sposo Cristo?",0
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E dunque, da che queste cose sono così così belle, Catellina, e tu non puoi vivere bene in alcune terra e usare questa vita fuggenda per difenderti. E dunque, da che queste cose sono così belle, Catellina, e tu non puoi vivere bene in alcune terra e usare questa vita fuggenda per le diserti.",0
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo contro la volontà del senato dimorare in questo luogo, furono morte da la plebe, incitandola i padri coscritti.",0
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette con la ventura di tutta la battaglia.",0
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Damonti dei Romani si fecero nuovi nemici; contro i quali è stata consacrata una nuova battaglia: perché nel secondo affronto, essendo consolo Valerio, MMMD morirono dei Romani; perché nel secondo combattimento, essendo consolo Valerio, MMMD morirono dei Romani; perché nel secondo combattimento, essendo consolo Valerio, MMMD morirono dei Romani;",0
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi siamo incolpatati e dipartiti per debito della Cittade, e tutti incolpatati da fama e ventura buona.",0
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,pregaste gli dei per me; e se voi domandate chi ebbe la ventura di questa battaglia; io non fui inviato da colui.,0
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Egli allogò una villa chiamata Vitermina, con ciò che i principi di scherani corressero per la ventura a quel tempo, Scipione, stimando che venissero per impedirlo, allogò nella casa.",0
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,Allora contra lui e contra le sue sorelle e contra il reame e contra lalto pregio della sua ingenerazione e della sua famiglia.,0
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Allora che il navilio si fu rinchiuso e messo in alto mare per andare diritto per me questo trapasso periglioso, laria divenne nuvolosa e pioveginosa.",0
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Egli salìo in su largine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcun modo fuggire.",0
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma locchio della intelligenza è più alto. Perciò che, passata la grandezza della università, quella medesima semplice forma vede nella sotterranea vista. Perciò che locchio della intelligenza è più alto. Perciò che locchio della intelligenza è più alto. Perciò che locchio della intelligenza è più alto. Perciò che locchio della intelligenza è più alto. Perciò che locchio della intelligenza è più alto. Perciò che, passata la grandezza della",0
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se locchio è nobile membro del corpo delluomo, dunque la salutazione è nobile parte del corpo delluomo.",0
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, i quali erano nati di quegli di Lacedemonia e i quali erano nati da quelli dei Greci.",0
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Olecos, ebbe un uomo ricostruito e nobile: Orgentore fu chiamato per nome.",0
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","però che, se è nobile cosa e alta è stata abatta dal nemico, non è più difficile sapere avere miricordia. Però che, se è nobile e alta è stata abatta dal nemico, non è più difficile sapere avere miricordia.",0
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Aleksandri, ciò è il generoso e il figlio, da Phausonia, gentile iovane di Macedonia, in un luogo straccato sanza guardia, fu ucciso.",0
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Egli è riccho e gentile, ma lamentasi che volesse avere altra moglie che quella che egli à.",0
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, essendo mostrato in figura il popolo Gentile, così gli fu detto: ammazza, e mangia.",0
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","prego che lo liberasse di quella obbligazione, che egli aveva lasciato ubbligata.",0
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","Loro verrà dallAquilone, se non il popolo Gentile congelato dal freddo del peccato, che colpisce il popolo Gentile sotto il giogo della sua tirannia. Perché non il popolo Gentile congelato dal freddo del peccato, che colpisce il popolo Gentile sotto il governo della sua tirannia. Perché non il popolo Gentile congelato dal freddo del peccato, che colpisce il popolo Gentile sotto il governo della sua tirannia.",0
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","non puoi più lungamente dimorare con me, perché io non lo sosoffrirò e non lo lascerò.",0
