Author,Date,Region,Sentence,generated_translation,score_human
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, attraverso il quale si decidono e giudicano tutte le cose.",0
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Così i poeti, parlando di loro, dicono le loro virtù e, in maniera fabulosa, i loro difetti, quando una di quelle passava a lui assegnato.",0
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","e quella cosa, la quale è diretta e onesta, e con virtù, quella solo penso essere il bene.",0
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti ingozzavano un romano al giorno, allora era meraviglioso guardare come i Psille si battevano contro il veleno, poiché essi li annullavano tutto indietro della loro saliva.",0
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Secondo quanto il poeta dice, è bella cosa guardare in faccia quando tu la fai dirigerà verso indietro o in alto.",0
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","ma comunque fu colpa tua, poiché tu volevi cercare di vedere con gli occhi corporali una cosa invisibile.",0
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non rispondo a te ora perché tu sei mio servo, o perché è ora libero, o perché non devo rispondere a te.",0
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,deve avergli molto per permettergli di andarsene.,0
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","notevole esempio per chi si guardi da commettere e pensare tradimento, il servo, il quale gli era stato accusato, fu assolto e ricevette una grande quantità di denaro.",0
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,sarebbe strano a lui se avesse commesso ciò che la colpa del servo e la pena di Platone avrebbero meritato all'eguale.,0
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","mostrò massimamente le sue forze, eleggendo re in questa città dove nacque servo; a cui tenne impero per un lungo tempo.",0
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,l'anima cambia forza in base alla proprietà del corpo a cui si fissa.,0
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due cose già, non nella carne ma nell'anima, cioè Dio e l'anima. Così in altro luogo San Paolo dice: Chi si avvicina a Dio è uno spirito.",0
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Così come Lucano lo disse, lo raccontiamo a voi lì. Lì, quando l'anima di Pompeo sentì la luce di Lasio, essa lo riconobbe prima in grande misura.",0
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Perché è doloroso sentirsi, quando l'uso la arma e il sforzo rifiutano, con grande vergogne come pecore essere.",0
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,non ebbe di fastidio ascoltare tali parole di Cristo.,0
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","la folla di cui puoi aver visto e guardato il volto e poco fa udito le voci, e quelle mani e lance che solo in parte posso tenere ferme.",0
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","ascoltare di belle storie e odorare di belli fiori, come, quando e quanto è appropriato

La traduzione moderna mantiene il significato della frase antica, che vuole esprimere l'idea di ascoltare storie interessanti e di gustare il profumo dei fiori. Il verbo ""conviene"" è tradotto in ""è appropriato"" per mantenere",0
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro all'albergo suo, quasi come se pensasse alla risposta.",0
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desioso lì dove io non posso andare con il corpo, la mente vi vado

Explanation:
The original text is in the past tense and uses the word ""disioso"" which means ""longing"" or ""eager to go."" To maintain the same meaning in modern Italian, the verb ""vado"" (go) is changed to ""vado"" in the past participle form ""stato"" to maintain the past tense",0
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ecco subito tutta quella turba di uccelli alzarsi in volo dietro all'aquila.,0
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Può vedere le ragioni del volo degli uccellini e giudicare veramente su tutte le cose.,0
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Or vedi quanto vola in alto per superbia questo uccello.

Explanation:

The original text is in the past participle form ""Or ecco quanto per la sua superbia questo uccello volava in alto,"" which means ""Here is how high this bird was flying because of its pride."" The modern Italian translation maintains the same meaning with ""Or vedi quanto vola in alto per superbia questo uccello,"" which",0
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Donna Gorgona, posso volare per l'aria come un uccello con questa proprietà mia.",0
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando si giura in un atto notarile, invocando Dio, Cristo e lo Spirito Santo.",0
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","per necessità io ripeto che, secondo il tuo comando, santo Agostino, le battaglie già combattute nel mondo [..]",0
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","saranno ricordate di maggiormente per il re, quindi il nome reale fu sempre santo e glorioso in nostra città, e se furono compagni fu anche il loro nome santo.",0
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che si insorga orgoglio per la santa intenzione e il voto della verginità, guardando le sue lodi.",0
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","San Agostino scrisse un libro chiamato ""La Città di Dio"" di Agostino.",0
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non l'ho mai sentito avere un maestro; ma il dono dello Spirito Santo non può essere confinato da legge.,0
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Il linguaggio antico: I mercanti fiorentini passavano in nave per andare all'estero.,0
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nei cavaliieri i segni visti non andare a grandezza calando, perché nelle battaglie sono più utili i forti che i grandi.

Explanation:
The antique text uses the verb ""andare"" in the meaning of ""to go down, to decline"" when referring to the ""segni"" (signs) on a knight's face. To maintain the same meaning in modern Italian,",0
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, a quel che è peggio, dover cedere o fuggire, e lasciare la sua terra sottomettere.",0
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sapete realmente che, se non ci fosse così precipitosa la nostra fuga, saremmo tutti morti.",0
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Uno tra i cretesi, Tarco, che avrebbe potuto fuggire per aiutare i nemici, ma si sentiva vergognoso di lasciare indietro i nobili cavalieri achei, che stavano poco prima di lui.",0
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'arredamento ha la capacità di realizzare grandi cose, cioè di mantenere la pace e amare Dio e il prossimo, di costruire città, castelli e magioni.",0
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,chi ancora non sa amare l'altro come sé medesimo inizia a temere il giudizio di Dio.,0
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo averle spianate le ali, non fugge in salvo, né il porcello selvatico uscire bene da quelle reti in cui cade.
Explanation: The old text uses ""impianate"" (to spread) to describe the bird spreading its wings, but this is an archaic usage that is not commonly used in modern Italian. The modern equivalent would be ""spianare"" (",0
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli dissi: “Vai, fuggi da me.” Ed egli partì. Ma mi resta il mistero: perché deve il cuore tuo essere chiuso a Cristo?",0
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Così, allora, Catellina, se queste cose sono così, non puoi stare bene qui; dubita di andarti in qualche altro luogo e usare questa vita fuggendo per le terre desertiche.",0
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo contro la volontà del senato rimanere nell'ufficio del tribunato, furono uccisi dalla plebe, incitandola i padri coscritti.",0
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","ai giovani, a cui si affida la difesa delle province e il successo di tutta la battaglia.",0
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","dai monti romani si sono creati nuovi nemici; contro di essi è stato scontrato con sorte diversa: per cui nella prima battaglia, essendo console Valerio, MMMD ne persero la vita dei romani.",0
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","abbiamo lasciati e partiti per debito della città, e tutti abbiamo lasciati per fama e per una buona sorte.",0
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"pregoi i dèi per me; vostri preghieri valgono: e se chiedete chi ebbe sorte in questa battaglia, io non fui sconfitto da lui.",0
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","una villa chiamata Vitermina, dove, se fosse successo che più principi di scherani avessero corso a quel tempo per forzarlo, Scipione vi allogò.",0
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,contro di lui e contro le sue sorelle e contro il regno e contro l'alto prezzo della sua origine e della sua famiglia.,0
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Allora che il vascello fu imboccato e messo in alto mare per andare dritto attraverso questo passaggio pericoloso, l'aria divenne nebbiosa e piovosa.",0
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","non riuscì a salire sul ripido argine del fossato, né sul palissato, se potessero essere difese da lontano o superato in qualche modo e fuggire.",0
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto. Per questo motivo, passata la grandezza dell'università, quella stessa forma semplice vede nella sottilissima visione.",0
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un nobilissimo membro del corpo umano, allora la salutazione è una parte nobilissima della pistola, che in modo simile illumina tutta la lettera, come l'occhio illumina l'uomo.",0
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Tarentini, che erano nati da quelli di Laconia e avevano fatto da essi una nobile città greca.",0
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Uliaco era un uomo ricco e nobile, e si chiamava Orgenzoro.",0
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","ma se è nobile e alta cosa abbatte il nemico, è pure lodabile sapere avere misericordia.",0
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexandro, questo è il genero e il figlio, di Phausonia, giovane nobile di Macedonia, rimase ucciso in un luogo chiuso senza guardia.",0
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuno è ricco e gentile, ma lamenta che desidererebbe avere un'altra moglie diversa da quella che ha.",0
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, quando gli fu mostrata in visione la folla gentile, gli fu detto: uccidi, e mangia.",0
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","preghi che mi lo liberi di questa obbligazione, in cui l'ho lasciato legato. Il gentiluomo accettò, lo liberò e ne fece una carta.",0
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilino. Chi si figuriamo per l'Aquilino, se non il popolo gentile congelato dal freddo del peccato, il quale popolo fu tenuto sotto il giogo della sua tirannia.
Note: In italiano moderno, ""Aquilone"" è tradotto come ""Aquilino"", per mantenere il riferimento alla direzione cardinale",0
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","resti tra noi due: non puoi più a lungo con noi stare, perché io non ti sofferrò e non ti lascerò.",0
