Author,Date,Region,Sentence,generated_translation
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","<pad> ['Se non fosse usata, ciò parrebbe molto più incredibile: certo più agevolemente si può credere quello, posto che l'umano spirito al di là del divino, ed il mutabile allo incommutabile.']"
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,<pad> ['che prenderono la paga dal camarlingo per contraddicere il passato dei cavalieri che venivano di Cecilia in Toscana per contraddicere il passato dei cavalieri che venivano di Cecilia in Toscana per contraddicere il passato dei cavalieri che venivano di Cecilia in Toscana.']
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","<pad> ['O messer Achelo, io vi prego che voi mi diciate in che modo voi perdiste.']"
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","<pad> ['Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono.']"
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,<pad> ['sarà fallo il porco salvatico e l'uomo di udire e il lupo cerviere del vedere.']
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,<pad> ['Un luogo si mandano lancioni; la quale cosa i cavalieri l'appellano capo di porco; la quale cosa i cavalieri l'appellano capo di porco.']
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,<pad> ['Aiuta le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.']
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","<pad> ['Ora spaventerai i disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passata coltello spiedo.']"
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","<pad> ['Si tratta la natura delle cose incorporali le quali non parlano intra le corpora, sì come Dio e le divine cose.']"
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","<pad> ['Dio, per la quale si dispensano e giudicano tutte le cose.']"
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","<pad> ['Gli poeti, parlando degli loro, dicono le virtù loro e dicono favolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato.']"
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","<pad> ['E quella cosa, la quale è diretta e onesta, e con virtute, quella sola penso essere lo bene.']"
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","<pad> ['Quando i serpenti si combattevano al veleno, allora iera la maraviglia a vedere come gli uccelli si combattevano al veleno.']"
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","<pad> ['Oh, che bella cosa è vedere apertamente con gli occhi quando fai diretta o in altro luogo.']"
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","<pad> ['ma non fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.']"
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","<pad> ['È vero, ma non ti rispondo in questo tempo, perciò che è tempo feriato, o perciò che io non debba risponderti.']"
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,<pad> ['Sii convene che l'esse grande avere perché lasciasse andare via.']
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","<pad> ['A ciascuno che guardasse di fare e di pensare tradigioni, fu ucciso, e fugli donati grande quantità di moneta.']"
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,<pad> ['se l'avesse creato sì che la colpa del servo e il gastigamento di Platone avesse meritato egualmente.']
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","<pad> ['Ahimè, mostrando le forze sue, dando lui re a questa cittade dove nacque servo; al quale avvenne lungo l'impero tenersi in pace; al quale avvenne lungo l'impero tenersi in pace con la quale nacque servo; al quale avvenne lungo l'impero tenersi in pace.']"
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,"<pad> ['Ahimè, l'anima muta la sua forza per la proprietà di quello corpo a cui ella si congiunge.']"
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","<pad> ['Sii accosta a Dio è un spirito, cioè Dio, e l'anima.']"
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","<pad> ['pertanto che Lucano lo disse, il vi raccontiamo. Ivi, quando l'anima di Pompeo ebbe sentito la chiarezza di lassù, ella sì riconosce prima l'anima di Pompeo.']"
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","<pad> ['Sii dolore è a udire, quando l'usare l'arma e la fatica rinuncia, con grande disonore come pecore essere.']"
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,<pad> ['E non ebbe in fastidio Cristo cotali parole d'udire.']
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","<pad> ['La moltitudine dei quali tu hai potuto vedere e riguardarlo, e le cui mani e lance non posso ritenere.']"
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","<pad> ['Sii udire di belle novelle e odorare di belle fiori, come e quando si conviene.']"
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","<pad> ['Il re entrò in un giardino dietro al suo albergo, quasi come se fosse pensando alla risposta.']"
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","<pad> ['Ma io dico che non posso col corpo andare, con la mente vi volo. Ma io disperato colà dove non posso col corpo andare, con la mente vi volo.']"
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,<pad> ['E ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila.']
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,<pad> ['Vede anche le ragioni del volo degli uccigli e di tutte le cose sa rendere vero giudizio.']
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,<pad> ['Ora ecco quanto per la sua superbia questo uccello volava in alto.']
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","<pad> ['Gorgo, e ho questa proprietà che io volo per l'aria come un ucello.']"
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","<pad> ['Quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo.']"
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","<pad> ['Il mio desiderio è che, secondo il comandamento tuo, padre Agostino, le battaglie già state nel mondo [..']"
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","<pad> ['Sii saranno molto di maggiori memoria fatte al re, perciò che nella nostra cittade sempre fu santo e glorioso il nome del loro nome.']"
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","<pad> ['Non voglio, che insuperbischi per il santo desiderio, e voto della verginità vedendo le sue laudi.']"
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".",<pad> ['Agostino fece un'libro che aveva nome “Agostino Della Città di Dio”.']
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,<pad> ['Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non può stringere a legge.']
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,<pad> ['Verigrazia: Mercatanti fiorentini passavano in nave per andare allontanarsi.']
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","<pad> ['Quando avessi nel cavaliere i detti segni veduti non andare a grandezza, perché nelle battaglie sono più utili i forti che i forti.']"
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","<pad> ['e, cosa che è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.']"
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","<pad> ['Sappiate veramente, che se noi non ci fussero affrettati dal fuggire, noi saremmo tutti morti.']"
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","<pad> ['Il dolore di abbandonare i nobilissimi cavalieri della gente che aveva poco avanti da lui, ma la vergogna di abbandonare gli nobilissimi cavalieri della gente che era poco avanti da lui.']"
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","<pad> ['E l'accoglimento a fare grande cose, cioè a fare piccole cose, cioè a fare piccole cose, cioè a fare la pace e l'amore Idio e il vicino, a fare montagne, castella e magioni.']"
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,<pad> ['Colui che non sa amare il prossimo come sé stesso comincia a temere i giudici di Dio.']
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","<pad> ['Ucello, poiché ha impaniate le ali, fugge salvamente, né l'ucello, poiché ha impaniate le ali, non fugge salvamente.']"
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","<pad> ['Io gli apparsi, e quelli fuggiti. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?']"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","<pad> ['E dunque, da che queste cose sono così belle, Catellina, e tu non puoi bene dimorare in alcun luogo.']"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","<pad> ['Questi due, volendo contra la volontà del senato dimorare in l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.']"
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","<pad> ['I giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette.']"
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","<pad> ['Si fecero nuovi nemici; contro i quali si fecero nuovi nemici; contro i quali si fecero nuovi nemici; contro i quali si fecero nuovi nemici; perché nel corso dell'ultima battaglia, essendo consolo Valerio, MMMD ne morirono dei Romani;']"
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","<pad> ['Noi dipartiti e dipartiti per debito dela cittade, e tutti i dipendenti da fama e da ventura buona.']"
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,<pad> ['pregate gli dei per me; e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui che ebbe questa battaglia; io non fui vinto da colui.']
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","<pad> [""Una villa chiamata Vitermina, con ciò fosse cosa che i principi di scherani corressero per la ventura a quel tempo.""]"
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,<pad> ['E contra lui e contra le sue sorelle e contra le sue sorelle e contra le sue sorelle e contra le sue sorelle e contra le sue sorelle e contra le sue sorelle e contra le sue sorelle e contra le sue sorelle e contra le sue sorelle.']
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","<pad> ['Allora che il navilio si fu inpinto e messo in alto mare per andare diritto per mezzi questo trapasso periglioso, l'aria divenne nuvolosa e pioveginosa.']"
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","<pad> ['Non ho mai salito in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcun modo passare oltre e scampare.']"
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","<pad> ['Ma l'occhio della intelligenza è più alto. Perciò che, passata la grandezza della università, quella stessa forma vede nella sotterranea. Perciò che, passata la grandezza della università, quella stessa forma vede nella sotterranea. Ma l'occhio della intelligenza è più alto. Perciò che, passata la grandezza della"
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","<pad> ['E se l'occhio è nobile membro del corpo dell'uomo, dunque la salutazione è nobile parte del corpo dell'uomo.']"
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","<pad> ['Tarentini, i quali erano nati di quegli di Lacedemonia e fatti da loro nobile cittade dei Greci.']"
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","<pad> ['Ulecos, ebbe un uomo ricobile e nobile: Orgentore fu chiamato per nome.']"
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","<pad> ['però che, sse nobile cosa e alta è abbattuta il nimico, non è più laudabile sapere avere miricordia.']"
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","<pad> ['Il generoso e il figliuolo, da Phausonia, gentile iovane di Macedonia, fu morto.']"
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","<pad> ['Ilcuno è riccho e gentile, ma lamentasi che fosse altra moglie che quella che egli è.']"
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","<pad> ['Egli fu mostrato in figura il popolo Gentile, così gli fu detto: ammazza, e mangia.']"
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","<pad> ['perché lo liberasse di quella obbligazione, in cui egli lo aveva lasciato ubbligato.']"
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","<pad> ['Ora sarà dall'Aquilone, se non il popolo Gentile congelato dal freddo del peccato, il quale colpisce l'Aquilone. Che figuriamo noi per l'Aquilone, se non il popolo Gentile congelato dal freddo del peccato, il quale colpisce l'Aquilone. Che figuriamo noi per l'Aquilone, se non il popolo Gentile congelato dal fred"
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","<pad> ['Sii in mezzo tra me e te: con noi non puoi più lungamente dimorare, che io non lo sofferrò e non lo lascerò.']"
