Author,Date,Region,Sentence,generated_translation
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si riservò con astuzia a parlare con l'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,cose che sapevo fossero fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortenzio, condusse la sua vita più bassa e viziosa."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Altrasò un amante chiamando la sua donna a essere graziosa dice molte parole e ragioni, e lei si difende con le sue parole."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo (cfr. capitolo 347) che essendomi infuriato fui liberato dalla mia donna. Oh, come mi liberò di questa ira!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,colui di cui tu eri in pensione e che era amante della tua donna;
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma essi non conoscevano già il nome di coloro che erano appartenuti alla cospirazione, poiché la donna non aveva già nominato i loro nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Certo, quando si muove, ti dice: ""O fedele mia donna, fai sì che tu sia incaricata al mio posto della nostra ostia troiana""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ripristata la malvagità di una donna simile a quella di Cristo, nello stesso tempo di questo signore della Repubblica. "
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E si rattristarono per le ingiustizie di Apio, e riprenderono la malventurata bellezza della femmina e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In questa battaglia, certo, ho sempre avuto il coraggio di ragionare sulla pace e mi sono sempre deluso del fatto che non solo la pace era stata smarrita, ma anche il fatto che la pace fosse stata smarrita."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda anima è talvolta spaventosa a causa della grande provvidenza divina, e la prima anima è spaventosa a causa della sua ardente volontà di far impazzire qualcuno."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"Entrò nel campo dei Cartaginesi, e la sua entrata fu secca."
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Questa fu la donna che incitò il profeta Natan a prendere con grande autorità il re peccatore.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","le armi e con esse non passarono tra i nemici, perciò se qualcuno avesse avuto il coraggio di farlo, avrebbero avuto l'anima di farlo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Dove gioiosamente Giobbe è interpretato male;
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.",Colui al quale voi credete con più certezza: dopo di lui fu il vostro comandante.
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Vanitamente si chiede chi ha scritto questo Libro, con ciò si deve credere fedelmente che l'Autore di questo Libro sia lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse stato usato con forza, questo sembrerebbe molto più incredibile: si può credere in tal modo con maggiore facilità, poiché lo spirito umano è divenuto divino, e l'immutabile è divenuto immutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"che prendessero la paga del camerlingo per averli liberati e liberati, andarono senza fretta alla presenza del papa per contrastare il passaggio dei cavalieri che venivano da Cecilia in Toscana."
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Tesesi guardò Achelao con grande meraviglia e disse: ""O Signor Achelao, vi prego di spiegarmi in che modo avete perso la vostra vita."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero che in nome di Gesù io possa inviare subito Timoteo verso di voi, perché io sia di buon animo."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Mentre fa questo il maiale selvaggio avvicina l'uomo a udire e il lupo cerviero a vedere.
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,in un luogo si inviano lanci; a questo punto i cavalieri lo chiamano capo del maiale.
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Appendi le sue reti ai cervi e sa bene in quale valle abita il porco cinghiale rabbioso.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora tu spaventerai i cervi desiderosi con paure diverse e diverse, o il porco ingeriero si infilarà sulla terra con lo sguardo spiato."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta della natura delle cose incorporabili che non convergono tra le cose fisiche, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per mezzo della quale si esprime e si giudica ogni cosa."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Dove i poeti, quando parlano di sé stessi, raccontano le loro virtù e raccontano favolosamente i loro difetti, quando una donna passava l'ordine al loro rappresentante."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","e quella cosa, che è diretta e onesta, e con le sue virtù, credo sia la sola cosa giusta."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando un uomo romano uccideva con il veneno dei serpenti di giorno, allora era meraviglioso vedere come i Psilie combattevano con il veneno, poiché essi uccidevano ogni cosa senza saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: oh, che bella cosa è vedere con gli occhi aperti quando fai gli gesti verso l'alto, verso il basso o verso l'alto."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma anche questo fu colpa tua, per il fatto che tu cercassi di vedere con gli occhi fisici l'invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo in questo momento, perché sei mio servitore, o perché è tempo crudele, o perché non ti devo rispondere."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,Perciò è opportuno che Dio desse a lei le cose più belle perché le lasciasse andare via.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Il servo, accusato di tradimento, fu colpito e fuggito grazie a una grande somma di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,che sarebbe disgrazioso per lui se avesse commesso tale delito che sia la colpa del servo che la vergogna di Platone.
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere",mostrò in grande la sua potenza e diede a lui il potere di governare la città dove nacque i suoi schiavi; a lui apparve per molto tempo l'Impero romano.
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima muove la sua forza a causa della proprietà del corpo a cui si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","non sono più due in carne e ossa, ma uno spirito, cioè Dio, e l'anima. Infatti, in un altro luogo dice San Paolo: Chi si avvicina a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Ecco cosa disse Luca, vi raccontiamo. Poi, quando l'anima di Pompeo sentì la luminosità del suo lascio, conobbe per la prima volta in grandezza la volontà di Dio."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Poiché è doloroso sentirlo quando si rifiuta di usare le armi e la penitenza, con grande disonore essere come le pecore."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E non ebbe affatto difficoltà a sentire le parole di Cristo.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","la moltitudine di coloro che tu sei riuscito a vedere e a tenere conto dello studio, e poco prima di udire le voci, e di coloro con le mani e le lance che posso solo ricordare."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Sentire belle notizie e sentire l'odore dei bei fiori, come e quando è opportuno."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro il suo albergo, come se stesse pensando alla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desidero andare dove non posso andare con il corpo, volare con la mente."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"E subito dopo, tutta questa folla di uccelli si alzò al volo dietro l'aquila."
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Egli vede anche le ragioni del volo degli uccelli e di tutte le cose sa giudicare con facoltà.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Ora questo uccello volava in alto grazie alla sua superbia.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e io ho questa proprietà che io volo per l'aria come un uccello""."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando si scrive nella matriglia si giura per Dio, per Cristo e per lo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","['perché, secondo il tuo ordine, padre santo Agostino, le battaglie sono già in corso in tutto il mondo.']"
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Saranno molto più importanti le commemorazioni fatte al Signore, poiché nella nostra città fu sempre santo e glorioso il nome reale, e così furono compagni del loro nome santissimo;"
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che tu insuperisca il suo santo proposito, e voto la virginità vedendo le sue lodi."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","San Agostino fece un libro intitolato ""Augusto della Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio: non ho mai sentito che avesse un maestro; ma il dono dello Spirito Santo non può essere vincolato dalla legge.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Verbibia: I mercanti fiorentini passavano in barca per andare oltreoceano.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando vedrai le segni del cavaliere, non devi ingrandire la tua potenza, poiché in battaglia i forti sono più utili che i forti."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, cosa ancor più grave, vale a dire essere catturati o fuggire, e lasciare vincere la sua Comuna."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate bene che se non fossimo in fretta di fuggire, saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco Cretense, che era in aiuto dei nemici, avrebbe potuto fuggire, ma la vergogna di abbandonare i nobili cavalieri del popolo raggiungeva poco prima di lui."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e il desiderio di compiere cose di grande valore, cioè mantenere la pace e amare Dio e il prossimo, proteggere città, castelli e palazzi."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Colui che ancora non sa amare il prossimo come se stesso comincia a temere i giudizi di Dio. 
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo aver afferrato le ali, non fugge in salvo, né il maiale selvaggio sale bene dalle sue reti dove cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io mi apparei a lui, e tu fuggiti. E che cosa c'è di più che tu debba tenere il cuore chiuso con Cristo, il tuo marito?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E dunque, Catellina, poiché le cose sono così e tu non puoi stare bene qui, dubiti di andartene in una terra straniera e di usare questa vita per fuggire verso il deserto."
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo difendersi dal desiderio del Senato di stare nell'ufficio del Tribunale, furono uccisi dai plebi, incitandosi a farlo dai padri arruolati."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, ai quali si dedica la difesa delle province e l'avventura di tutta la battaglia."
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Davanti ai monti dei Romani si crearono nuovi nemici; contro di essi ebbe luogo un combattimento difficile: perciò nella prima battaglia, essendo consolato da Valerio, MMMD morì nei confronti dei Romani;"
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi siamo stati uccisi e uccisi per colpa della città, e tutti uccisi per la fama e la fortuna."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Avete pregato gli dei per me; le vostre preghiere valgono; e se vi chiedete chi ha avuto la fortuna di combattere in questa battaglia, io non sono stato vinto da lui."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","una villa chiamata Vitermina, cosicché in quel momento molti dei suoi padroni fuggitarono per vederlo. Scipione, stimando che qualcuno venisse a forzare lo sguardo, ospitò la sua casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"Contro lui e le sue sorelle, contro il regno e contro l'alto valore della sua generazione e della sua famiglia."
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando il velivolo si allontanava e si lanciò in alto per percorrere per mezzo di questo pericole passo, l'aria divenne nuvola e piovosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Scendiamo verso l'alto del basso, verso l'alto del basso, se si può difendersi dall'alto, o tramite qualche mezzo passare oltre e fuggire."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più elevato. Perciò, dopo la grandezza dell'università, la stessa forma semplice vede nella saggezza della vista."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un membro nobile del corpo umano, allora il saluto è una parte nobile della pistola; così come l'occhio illumina l'uomo, illumina la lettera intera."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Tarentini, nati da quelli della Lacedemonia e fatti dalla nobile città dei Greci."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Ulecois, ebbe un uomo ricco e nobile: Orgento fu chiamato per nome."
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Tuttavia, se la cosa nobile e elevata è stata abbattuta dal potere nemico, allora non è meno lodante avere pietà."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandrio, questo è il genero e il figliole, di Phausonia, gentile giovane macedoneo, stabilito in un luogo stretto senza guardie, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","C'è qualcuno che è ricco e gentile, ma si è lamentato del fatto che vorrebbe avere una moglie diversa da quella che ha."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, dopo avergli mostrato in forma il popolo gentile, gli fu detto: uccida e mangi."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Pregò Dio di liberarlo da quell'impegno che aveva lasciato in carica. Il gentile uomo, dopo esserlo liberato, si liberò e fece carta."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà prodotto dall'Aquino. Che noi immaginiamo con l'Aquino, se non il popolo gentile congelato dal freddo del peccato, che il popolo tenne sotto il controllo della sua tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Che sia tra me e te: tu non potrai stare più a lungo con noi, perché io non lo sopporterò né lo lascerò."
