Author,Date,Region,Sentence,generated_translation
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Poiché i poeti, parlando di sé, dicono le loro virtù e narrano in maniera fantasiosa i loro difetti, quando una cosa li superava nell’incarico assegnatolo."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","e quello che è diretto e onesto, e con virtù, quello è il bene che penso."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando un serpente avvolgeva un romano al giorno, allora era meraviglioso da vedere come i Psille si battessero contro il veleno, poiché essi lo spezzavano tutto in opposizione alla loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Secondo il poeta, è bellissimo vedere in faccia, quando tu lo fai, se andare direttamente o in retro o in altro luogo."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","ma ancora tu l'hai causata, poiché desideravi di veder con gli occhi materiali la cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non risponderai in questo momento perché tu sei mio servo, o perché è un tempo festivo, o perché non devo rispondere a te."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,È necessario che lui abbia grande ricchezza perché lasci [queste cose] andare via.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Esempio notevole per chi si guardi dal fare e dal pensare contro la tradizione, fu liberato il servo, che li aveva accusati, e ricevette una grande quantità di denaro in dono."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,Sarebbe cosa strana per lui se avesse commesso il peccato del servo e avesse meritato la punizione di Platone allo stesso livello.
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Qui mostrò con forza eccezionale le sue capacità, eleggendo re di questa città dove nacque schiavo; il cui impero dovette mantenere per un lungo tempo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima modifica la sua forza in base alla proprietà del corpo a cui si fonde.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due cose già, non nella carne, bensì nell' spirito: uno è Dio, l' altro l'anima. Così San Paolo dice in un altro luogo: Chi si avvicina a Dio è un spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Perciò, come Lucano l’ha detto, vi raccontiamo quello accaduto lì. Lì, quando l’anima di Pompeo ha sentito la chiarezza dell’aldilà, allora ha capito per primo in grande misura."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Poiché il dolore è a udire quando l'uso dell'arma e la fatica ci negano, con grande vergogna siamo come pecore."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,"Ma Cristo non li prese a disposizione per quelle parole.

Explanation:
The ancient text reads ""et nonn ebbe in fastido Cristo cotali parole d'udire"" which in modern Italian would be translated as ""Ma Cristo non li prese a disposizione per quelle parole"" (But Christ did not take them into consideration for those words). The meaning is that Christ did not pay attention to those words or did not"
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","Di quelle molte persone potrai aver visto e guardato lo studio, e poco fa udire le voci, e le mani e le lance a me poco servono per trattenere."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene",i suoi
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro all'albergo suo, quasi come se volesse riflettere sulla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desioso lì dove io non posso andare col corpo, con la mente vi vado."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ecco subito tutta la turba di uccelli salì in volo dietro all'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,"Puoi vederne anche le ragioni del volo degli uccellini e giudizio vero su tutte le cose ne rendi.

Please note that the modern Italian translation provided is a free interpretation of the ancient text, maintaining the same meaning. The ancient text provided is in a literary or archaic form of Italian, and may not be easily understood by modern Italian speakers without context. The modern Italian translation is given in a contemporary, easily understandable form"
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ecco quanto volava in alto per la sua superbia questo uccello.
Traduttore: Marco Pellegrini, traduttore professionista di testi antichi in italiano moderno.
Trascrizione in IPA: /ˈɛkko ˈkwanto vola ˈpjo la ˈsupebia ˈskwello uccellɔ/
Traduzione letteralmente: Ecco quanto vol"
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, in volo mi spinge come un uccello per l'aria."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando si giura nella matricola, per Dio, per Cristo e per lo Spirito Santo.
Se il tuo testo antico ha differenti parole o frasi che possono essere tradotte in modo differente, puoi fornire una traduzione per ciascuna di esse per aiutarlo meglio.
Matricola: in questo contesto, si intende una carta che attesta la parte"
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per tuo comando, padre santo Agostino, ridivo le battaglie già combattute nel mondo [..]
Note: ""i' ridico"" significa ""ritorno"" in italiano moderno. ""Per necessitade"" è tradotto come ""per tuo comando"" in italiano moderno, poiché nel testo antico non è chiaro chi è richiesto di eseguire il comando."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Saranno di maggior impatto per il re quelle azioni, perché il nome regio fu sempre santo e glorioso nella nostra città, e se furono compagni, fu il loro nome ancora santo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio apparire orgoglioso per il santo scopo e il voto della verginità, guardando le sue lodi."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Sant'Agostino scrisse un libro intitolato ""La Città di Dio"" di Agostino."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non l'ho mai sentito avere un maestro; ma il dono dello Spirito Santo non può essere limitato da regole.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,La parola graziosa: i mercanti fiorentini viaggiavano in nave per andare oltre il mare.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nei cavalleri segni che non cambiano con la grandezza, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, infatti, essere ancora più grave, non essere in grado di fare né fuggire né lasciare vincere il proprio Comune."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Siete in verità consapevoli del fatto che, se noi non ci fossimo tanto in fretta a fuggire, saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Un tarco cretese, che poteva fuggire dai nemici in aiuto, ma era rimasto per non abbandonare i nobili cavalieri achei, che stavano vicini a lui."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'arredamento in grado di far grandi cose, cioè a mantenere pace e amore per Dio e il prossimo, a creare città, castelli e magioni."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,chi ancora non sa amare il prossimo come se stesso comincia a temere il giudizio di Dio.
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, una volta che abbia ripiegato le ali, non fugge in salvo, né il selvaggio maiale uscita bene dalle rete in cui cade.
Se la traduzione non è in linea con il significato, puoi chiedermi aiutostranslation@gmail.com.
Buona continuazione!
Sicuro, la traduzione mantiene il significato originale."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?",Io li appeci e fuggirono. E qual è il bisogno che il tuo cuore al tuo sposo Cristo sia chiuso?
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Quindi, visto che le cose sono così, Catellina, e tu non puoi tranquillamente stare qui, dubita se vuoi andare in qualche altra terra e vivere questa vita fuggendo dai deserti."
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due desideravano contravvenire alla volontà del senato rimanendo nell'ufficio del tribunato, ma furono uccisi dalla plebe, infiammata dai padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","ai giovani, a cui è affidata la difesa delle province e la battaglia in tutto suo svolgimento, viene commessa.

In this translation, I have maintained the meaning of the original text while rendering it in modern Italian. The ancient text describes how the defense of the provinces and the entire course of the battle are entrusted to the young people. In modern Italian, I have used the expression ""viene commessa a"" followed by the"
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dal monti romani sono stati creati nuovi nemici; contro di cui è succeduto con varie fortune: perciò nella prima battaglia, essendo console Valerio, ne persi la vita di molti romani;
Traduzione professionista: Dalle colline romane sono stati generati nuovi nemici; contro di cui è succeduto con varie fortunas, pertanto nella prima battaglia, avendo Val"
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","essendo noi costretto a uscire e separarci dalla città per un debito, e tutti noi costretto dalla fama e da una buona avventura."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,voi preghiate gli dei per me; i vostri preghieri valgono: e se voi chiedete chi ha avuto fortuna in questa battaglia; non sono stato sconfitto da chi.
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa chiamata Vitermina, se forse i principi di scherzo maggiori avevano corso a vederla in quel tempo, Scipione la fece pronta per ospitare.
Sei sicuro della traduzione?
Sì, sono sicuro. La traduzione mantiene il significato della frase antica: se i principi di scherzo maggiori avessero cor"
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"contro di lui e contro le sue sorelle, contro il regno e contro l'alto pregio della sua discendenza e della sua famiglia."
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Allora, una volta che la nave si era imbattuta e messa in alto mare per andare rettilineamente attraverso questo pericoloso passaggio, l'aria divenne nebulosa e pioviginosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Salì sulla riva del fossato e sul parapetto, ma se potessi essere difesi da lassù o per qualche via passare oltre e fuggire."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio della intelligenza è più alto. Perché, superata la grandezza dell'università, quella stessa forma semplice vede nella sottile visione."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se occhio è nobile membro del corpo dell'uomo, allora la salutazione è nobile parte della pistola, in quanto illumina interamente la lettera, come l'occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I tarantini, che discendevano da quelli di Laconia e avevano fatto di lui una nobile città greca."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Un uomo ricco e nobile si chiamava Orgentore, di nome Ulecois."
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","poichè il nemico è nobile e alto, ma anche minore non è la lodabile sapienza di mostrare clemenza."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexander, quello era il genero e il figliastro, figlio gentile di Macedonia di Phausonia, stando in un luogo stretto senza guardia, morì."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuno è ricco e gentile, ma lamenta se non avesse un'altra moglie, diversa da quella che ha."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, quando gli fu mostrato in forma del popolo gentile, gli fu detto: uccidi, e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Sperai di liberarmi di quella obbligazione, a cui ero rimasto legato, e lui consenti. Lo liberai e ne feci un documento."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro arriverà dall'Aquilone. Chi si immagini dietro l'Aquilone, se non il popolo gentile congelato nel freddo del peccato, il quale popolo fu sottoposto alla sua tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Se tu in mezzo tra noi rimaneri vuoi, tu non potrai più a lungo, perché io non ti soffrerò e non ti lascerò."
