Author,Date,Region,Sentence,generated_translation
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'impegno a fare cose di grande valore, cioè a mantenere la pace e ad amare Dio e il prossimo, a costruire città, castelli e castelli."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Colui che non sa ancora amare il prossimo come se stesso comincia a temere i giudici di Dio. 
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo aver colpito le ali, non fugge in salvo, né il porco selvaggio esce bene dalle reti dove cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?",Io gli apparivo e loro fuggono. E quale bisogno c'è di avere il tuo cuore chiuso al tuo marito Cristo?
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E quindi, poiché queste cose sono così, Catellina, e tu non sei in grado di dimorare bene qui, hai dubbi di andartene in qualche paese e di usare questa vita per fuggire nei deserti."
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo, contro il desiderio del Senato, dimorare nell'ufficio del Tribunale, furono uccisi dai plebi, incitandola ai padri iscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette",ai quali si impegna la difesa delle province e l'avventura di tutta la battaglia.
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Da allora molti dei Romani si sono fatti nuovi nemici; contro i quali ha combattuto con un'avventura diversa: poiché nella prima battaglia, essendo consolato da Valerio, MMMD morirà di Roma;"
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi siamo spaventati e lasciati a causa del debito della città, e tutti spaventati dalla fama e dalla fortuna."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Avete pregato gli dei per me; le vostre preghiere valgono: e se vi chiedete chi ebbe la fortuna di combattere in questa battaglia, io non sono stato vinto da lui."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","una villa chiamata Vitermina, cosicché in quel momento molti principi scherani corse per vederlo, Scipione, stimando che venissero a rafforzarlo, alloggiò la sua casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,Contro lui e le sue sorelle e contro il regno e contro l' altissimo valore della sua generazione e della sua famiglia
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando il navicolo fu spinto e messo in alto mare per percorrere per mezzo questo pericoloso passaggio, l'aria divenne nuvolosa e pioveggia."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Uscirono sull'argine della fosa, e sulla pendiciata, se potevano difendersi dall'alto, o in qualche modo passare oltre e fuggire."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto. Perciò, dopo la grandezza dell'università, la stessa forma semplice vede nella sua più sottile vista."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un membro nobile del corpo dell'uomo, allora il saluto è una parte nobile della pistola, così come illumina l'uomo l'occhio illumina l'intera lettera."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, nati da quelli della Lacedemonia e fatti dalla loro nobile città dei Greci."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Ulecois, ebbe un uomo ricco e nobile: Orgento fu chiamato per nome."
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Ma se la cosa nobile e alta è abbattuta dal nemico, allora è meno lodato sapere avere pietà."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandrio, questo è il genero e il figlio, di Phausonia, gentile giovane macedone, mentre stava in un luogo stretto di guardia, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Qualcuno è ricco e gentile, ma si lamenta di aver avuto una moglie diversa da quella che ha."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, dopo che gli fu mostrato in immagine il popolo gentile, gli fu detto così: uccida e mangi."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.",Preghiamo Dio di liberarlo da quell'impegno che gli aveva lasciato obbligato. L'uomo gentile lo liberò e fece di lui carta.
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà da Aquila, che noi immaginiamo come Aquila, se non il popolo gentile, congelato dal freddo del peccato, che il popolo tenne sotto il giogo della sua tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Che sia tra me e te: tu non puoi rimanere con noi più a lungo, perché io lo sopporterò e lo lascerò."
