text,translation
"['Trovommi Amor del tutto disarmato et aperta la via per gli occhi al core, che di lagrime son fatti uscio et varco:']","[""L'amore mi trovò disarmato e trovò aperta la via che, tramite gli occhi, va al cuore: questo fu l'inizio delle mie sofferenze,""]"
"[""però al mio parer non li fu honore ferir me de saetta in quello stato, a voi armata non mostrar pur l'arco.""]","[""diventate la fonte delle mie lacrime. Però, secondo me, non gli fu onorevole colpire me con una freccia mentre ero disarmato, e a voi Laura che eravate 'armata' non vi fu onorevole non mostrare l'arco.""]"
"[""Que' ch'infinita providentia et arte mostrò nel suo mirabil magistero, che crïò questo et quell'altro hemispero, et mansüeto piú Giove che Marte,""]","[""colui che mostrò una provvidenza e un'arte infinita con la sua meravigliosa opera di creazione del mondo, che creò l'uno e l'altro emisfero e diede a Giove la capacità di avere influssi più benevoli di Marte,""]"
"[""vegnendo in terra a 'lluminar le carte ch'avean molt'anni già celato il vero, tolse Giovanni da la rete et Piero, et nel regno del ciel fece lor parte.""]","['si fece uomo con Cristo, per rischiarare le letture sacre; che avevano per molti anni tenuto nascosto il loro vero significato, e distolse Giovanni e Piero dal loro mestiere di pescatori, facendoli partecipi del regno dei cieli.']"
"[""Di sé nascendo a Roma non fe' gratia, a Giudea sí, tanto sovr'ogni stato humiltate exaltar sempre gli piacque;""]","[""non diede a Roma l'onore di nascere in quella terra, ma in Giudea piuttosto, per far sì che fosse realizzata la sua volontà di rendere quella degli umili la condizione umana a lui prediletta!""]"
"[""ed or di picciol borgo un sol n'à dato, tal che natura e 'l luogo si ringratia onde sí bella donna al mondo nacque.""]","['Così ora da una piccola terra ha fatto nascere un sole tale, che gli uomini ringraziano la natura e il luogo che hanno prodotto una donna così bella.']"
"[""Quando io movo i sospiri a chiamar voi, e 'l nome che nel cor mi scrisse Amore, laudando s'incomincia udir di fore il suon de' primi dolci accenti suoi.""]","['Quando io sospirando comincio a chiamarvi, e con voi il nome che Amore ha impresso sul mio cuore, tra le lodi si comincia a sentire da fuori il suono delle dolci lettere.']"
"[""Vostro stato real, che 'ncontro poi, raddoppia a l'alta impresa il mio valore; ma: Taci, grida il fin, ché farle honore è d'altri homeri soma che da' tuoi.""]","[""Il vostro stato regale, che si ritrova poi, raddoppia il valore dell'intento di lodarvi; ma, è come se gridasse 'taci' l'ultima sillaba del nome: perché rendervi onore è un impegno troppo grande per le mie forze.""]"
"[""Cosí laudare et reverire insegna la voce stessa, pur ch'altri vi chiami, o d'ogni reverenza et d'onor degna:""]","['Così il vostro stesso nome insegna a lodare e a riverire per il semplice fatto di pronunciarlo quando si parla, o persona degna di ogni riverenza e onore:']"
"[""se non che forse Apollo si disdegna ch'a parlar de' suoi sempre verdi rami lingua mortal presumptüosa vegna.""]","['perché Apollo vieta, che a parlare dei suo rami sempre verdi, sia la lingua di un essere mortale presuntuoso.']"
"[""Sí travïato è 'l folle mi' desio a seguitar costei che 'n fuga è volta, et de' lacci d'Amor leggiera et sciolta vola dinanzi al lento correr mio,""]","[""Il mio folle desiderio è così traviato a forza di seguire lei che fugge, e che libera e senza il peso d'ogni vincolo d'amore sembra quasi volare in confronto al mio agire lento,""]"
"[""che quanto richiamando piú l'envio per la secura strada, men m'ascolta: né mi vale spronarlo, o dargli volta, ch'Amor per sua natura il fa restio.""]","[""che quando provo ad indirizzare l'amore verso una strada più sicura, non mi ascolta: a niente serve forzare lo stato delle cose, o mettergli le briglie, perchè tanto più l'amore, per sua natura, comincia a sfuggire al controllo della mia volontà;""]"
"[""Et poi che 'l fren per forza a sé raccoglie, i' mi rimango in signoria di lui, che mal mio grado a morte mi trasporta:""]","['e poi quando a forza si strappa il freno, io vengo trascinato senza alcun controllo dove vuole lui, conducendomi senza possibilità di fermarlo verso la morte:']"
"['sol per venir al lauro onde si coglie acerbo frutto, che le piaghe altrui gustando afflige piú che non conforta.']","['ma giunge infine al lauro da cui pendono frutti acerbi, quel lauro che, quando lo si riesca a gustare, acuisce più che alleviare le ferite.']"
"[""La gola e 'l sonno et l'otïose piume ànno del mondo ogni vertú sbandita, ond'è dal corso suo quasi smarrita nostra natura vinta dal costume;""]","[""La golosità, la pigrizia e le comodità dell'ozio hanno messo al bando ogni virtù che c'è nel mondo, per cui la nostra natura, vinta dalla moda comune,""]"
"[""et è sí spento ogni benigno lume del ciel, per cui s'informa humana vita, che per cosa mirabile s'addita chi vòl far d'Elicona nascer fiume.""]","['ha quasi smarrito la sua retta via ed è ormai così spenta ogni bontà, che dà forma alla vita, che colui che si dedica alla poesia è additato come una persona strana.']"
"['Qual vaghezza di lauro, qual di mirto? Povera et nuda vai philosophia, dice la turba al vil guadagno intesa.']","[""Chi desidera ancora l'alloro? chi il mirto? La filosofia va in giro povera e nuda, dice il popolo vilmente intento solo a guadagnare.""]"
"[""Pochi compagni avrai per l'altra via: tanto ti prego piú, gentile spirto, non lassar la magnanima tua impresa.""]","[""Avrai pochi compagni se segui l'altra via: quindi ti prego ancor di più, o uomo gentile, di non abbandonare la tua generosa impresa.""]"
"[""A pie' de' colli ove la bella vesta prese de le terrene membra pria la donna che colui ch'a te ne 'nvia spesso dal somno lagrimando desta,""]",['Alle pendici dei colli dove nacque colei che spesso dal sonno fa destare in lacrime quello che ci manda a te in dono.']
"[""libere in pace passavam per questa vita mortal, ch'ogni animal desia, senza sospetto di trovar fra via cosa ch'al nostr'andar fosse molesta.""]","[""Noi passavamo libere e in pace per questa vita caduca che ogni animale desidera, senza timore d'insidie nè di sciagure.""]"
"['Ma del misero stato ove noi semo condotte da la vita altra serena un sol conforto, et de la morte, avemo:']","[""Abbiamo un solo conforto, ora che siamo qui in questo misero stato, provenendo da quell'altra vita libera e serena, ora che la nostra morte è vicina:""]"
"[""che vendetta è di lui ch'a ciò ne mena, lo qual in forza altrui presso a l'extremo riman legato con maggior catena.""]","['e questo conforto è la vendetta verso colui che è cagione della nostra calamità: il quale è costretto a rimanere schiavo della volontà altrui, riddoto allo stremo, condannato ad una prigionia più dura che la nostra.']"
"[""Quando 'l pianeta che distingue l'ore ad albergar col Tauro si ritorna, cade vertú da l'infiammate corna che veste il mondo di novel colore;""]","['Quando il pianeta che serve alla divisione e alla misura del tempo ritorna nella costellazione del Toro, è come se discendesse dalle corna del detto Toro, infiammato dal Sole, una virtù che veste la Terra di un colore nuovo;']"
"[""et non pur quel che s'apre a noi di fore, le rive e i colli, di fioretti adorna, ma dentro dove già mai non s'aggiorna gravido fa di sé il terrestro humore,""]","['e non solo adorna quello che ci appare in superficie, le rive e i colli, ma anche dove non penetra la luce del giorno è come se fecondasse gli umori della Terra,']"
"[""onde tal fructo et simile si colga: così costei, ch'è tra le donne un sole, in me movendo de' begli occhi i rai crïa d'amor penseri, atti et parole;""]","[""manifestando su di essi i suoi effetti; così lei, che mi appare tra le donne splendente come un Sole, genera pensieri d'amore dentro di me, come se si irradiassero dai suoi occhi come raggi;""]"
"[""ma come ch'ella gli governi o volga, primavera per me pur non è mai.""]","['ma comunque ella muova e indirizzi i suoi occhi, mai accade che vengano indirizzati in modo tale che sia primavera per me.']"
"[""Glorïosa columna in cui s'appoggia nostra speranza e 'l gran nome latino, ch'ancor non torse del vero camino l'ira di Giove per ventosa pioggia,""]","[""Colonna carica di gloria, a cui si appoggia la nostra speranza e la fama del grande passato romano, che ancora non ha deviato dal vero cammino neanche a causa dell'ira di Giove,""]"
"[""qui non palazzi, non theatro o loggia, ma 'n lor vece un abete, un faggio, un pino tra l'erba verde e 'l bel monte vicino, onde si scende poetando et poggia,""]","[""qui non ci sono palazzi, teatri o loggie ma al loro posto alberi sempre verdi, un abete, un faggio e un pino tra l'erba verde e il bel monte vicino da cui si sale e si scende recitando poesie,""]"
"[""levan di terra al ciel nostr'intellecto; e 'l rosigniuol che dolcemente all'ombra tutte le notti si lamenta et piagne,""]","[""elevando al cielo il nostro sapere; e l'usignolo, che dolcemente all'ombra tutte le notti piange e si lamenta,""]"
"[""d'amorosi penseri il cor ne 'ngombra: ma tanto ben sol tronchi, et fai imperfecto, tu che da noi, signor mio, ti scompagne.""]","['riempie il cuore di pensieri di amore: ma, signor mio rendi vana e incompiuta tanta bellezza perché non sei in nostra compagnia.']"
